,geom_id,place,name,state,population,proportion,centroid,longitude,latitude,
1,c7c31b2961d064781940903e69d684f65a7ffdca,village,Ayawan,Tahoua,1844.893934,0.000920485,c(5.83398660189791, 14.3455104954824),5.833986602,14.3455105
2,839056659dff76f9bcdf75ff3517eae308dd5468,village,Atiébey,Maradi,1040.566204,0.000519176,c(6.84806020790073, 13.5263208733578),6.848060208,13.52632087
3,e6d727ad06b33fc3eea8ee8ffd9cb9c9a573c0c6,village,Gidan Laka,Tahoua,6816.209607,0.003400855,c(5.11796247779622, 13.9959160243227),5.117962478,13.99591602
4,010b44aad0637f6d924fa7a4130d26b4fee5ed54,town,Gazaoua,Maradi,16446.18201,0.008205598,c(7.91223542449161, 13.525724322881),7.912235424,13.52572432
5,2f273b33c1bf9ec5afbf4390e54188aa4e036bb6,village,Mâlam Salifou,Maradi,2253.005971,0.001124107,c(7.36139628115951, 13.5499894417948),7.361396281,13.54998944
6,2b7cd8d3aca045c69d68e1bf6953a71f5c43cecc,village; town,Soura Garin Daouré; Soura Oubandawaki; Tibiri; K'aouk'ay,Maradi,38987.97598,0.019452519,c(7.0628165937689, 13.5638370250093),7.062816594,13.56383703
7,1d864959f3ffdf4a49c6946fefe91fb373808d97,city,Illela,Tahoua,35983.61611,0.017953534,c(5.24897580040356, 14.4604216475777),5.2489758,14.46042165
8,2ea13010b69202fe46ace906db1f4efd9f3423a8,village,Takorou,Tahoua,1026.365583,0.000512091,c(5.29099003714967, 14.0076009588925),5.290990037,14.00760096
9,2502e38972182da9ec092943dda126def1b92da2,city,Laba,Tahoua,6985.697171,0.003485418,c(5.93949320489642, 14.61749251471),5.939493205,14.61749251
10,289f85c116367f7816ffc2f9a095c51ef7119774,village,Takar,Tahoua,3915.921674,0.001953796,c(5.26827129440585, 13.8755539899093),5.268271294,13.87555399
11,57c0126eaa42ade10b9c8bfc59b4b73f87d12d09,village,Boukou,Zinder,1166.32406,0.000581921,c(8.54126973322873, 13.0863113500859),8.541269733,13.08631135
12,6c97ecbe95c8265b2b13b404e705871e33696f90,village,Handarmawa,Zinder,1024.784502,0.000511302,c(9.29638212870008, 13.3999559321072),9.296382129,13.39995593
13,2b7cd8d3aca045c69d68e1bf6953a71f5c43cecc,village; town,Soura Garin Daouré; Soura Oubandawaki; Tibiri; K'aouk'ay,Maradi,38987.97598,0.019452519,c(7.0628165937689, 13.5638370250093),7.062816594,13.56383703
14,3f18d6a63fac3e86ecd0d3769d9a20a1108c6fb2,village,Edama,Tahoua,2280.543463,0.001137846,c(6.15617528424632, 14.2388951453019),6.156175284,14.23889515
15,3aa50225599ab66571c27f5eccdbe0be14399700,village,Karaji,Tahoua,2281.588718,0.001138368,c(5.47697217695112, 14.6864723943726),5.476972177,14.68647239
16,fe1bcb0ac4fb7ab67e46bf416144e9f80203d12f,town,Kornaka,Maradi,9192.25283,0.004586349,c(6.90110366768103, 14.0995728052584),6.901103668,14.09957281
17,cb2f47f376facc8722678399d81e20990458c20a,village,Darey,Tahoua,3075.150358,0.001534304,c(5.50297708621786, 14.5718119367171),5.502977086,14.57181194
18,44ac8a27c13264dc629d2975516974a9126cc1a4,village,Gidan Karo; Gidan Daouda,Tahoua,7808.145844,0.003895768,c(5.28297709590469, 14.3720189099715),5.282977096,14.37201891
19,2dd95f0fa06b80b9c0f1d2a0186821ed8dbbc510,village; city,Matamey Bougajé; Matamèye,Zinder,13601.43812,0.006786252,c(8.47703361077621, 13.4217021153322),8.477033611,13.42170212
20,2eb7cc72270951d645ad4d74effbd214d0159fc1,village,Kourfahét,Tahoua,2994.85768,0.001494243,c(5.11259011975337, 14.0307494161),5.11259012,14.03074942
21,d974d04dc16e8477f74f7866a3be497bebf12d6f,village,Faska,Tahoua,1567.54151,0.000782103,c(5.2947364816112, 14.7041339242603),5.294736482,14.70413392
22,4c72e0fc4e7faaf0fc70376dee74d5a4a6ff92ac,village,Kéitasaga,Tahoua,880.6357517,0.000439381,c(5.22373575602446, 14.137542348686),5.223735756,14.13754235
23,459a8de910a87a60de6ce8c11267e41ba9fdf5e0,village,Dan Makéri,Tahoua,3925.020913,0.001958336,c(5.27813758911072, 13.918617824528),5.278137589,13.91861782
24,ac050b52a3254a5466afe1a3d6029148411fd8d2,village,Gidan Kasori,Tahoua,2342.254945,0.001168636,c(5.46476673572303, 14.4487242673998),5.464766736,14.44872427
25,5da5fb337481285b172edbfd7507a0cc0e12fd9b,village,Guindi Guiri,Maradi,1321.670803,0.00065943,c(6.90710860030261, 13.4911349546781),6.9071086,13.49113495
